0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Nudity,Violent,Action,Adventure,Indie,,,,,,,,,,,,,,
Free to Play,Indie,Massively Multiplayer,RPG,,,,,,,,,,,,,,,
Casual,Indie,Racing,Sports,,,,,,,,,,,,,,,
Action,Casual,Indie,,,,,,,,,,,,,,,,
Free to Play,Simulation,,,,,,,,,,,,,,,,,
Adventure,Indie,,,,,,,,,,,,,,,,,
Casual,Indie,,,,,,,,,,,,,,,,,
Indie,Strategy,,,,,,,,,,,,,,,,,
Action,Adventure,Casual,Indie,Strategy,,,,,,,,,,,,,,
Casual,Indie,Simulation,,,,,,,,,,,,,,,,
Action,Adventure,Indie,,,,,,,,,,,,,,,,
Action,Indie,,,,,,,,,,,,,,,,,
Action,Adventure,Indie,,,,,,,,,,,,,,,,
Action,,,,,,,,,,,,,,,,,,
Adventure,Indie,,,,,,,,,,,,,,,,,
Casual,Simulation,Strategy,,,,,,,,,,,,,,,,
Utilities,,,,,,,,,,,,,,,,,,
Action,Adventure,Casual,Indie,,,,,,,,,,,,,,,
Action,Adventure,Indie,,,,,,,,,,,,,,,,
Casual,Indie,Simulation,,,,,,,,,,,,,,,,
Adventure,Indie,Simulation,,,,,,,,,,,,,,,,
Casual,Free to Play,Indie,RPG,,,,,,,,,,,,,,,
Casual,Simulation,,,,,,,,,,,,,,,,,
Casual,Indie,Strategy,,,,,,,,,,,,,,,,
Adventure,Casual,Simulation,Strategy,,,,,,,,,,,,,,,
Indie,RPG,Strategy,,,,,,,,,,,,,,,,
Indie,,,,,,,,,,,,,,,,,,
Casual,Indie,,,,,,,,,,,,,,,,,
Casual,Indie,,,,,,,,,,,,,,,,,
Utilities,,,,,,,,,,,,,,,,,,
Action,Casual,,,,,,,,,,,,,,,,,
Action,,,,,,,,,,,,,,,,,,
Casual,Indie,,,,,,,,,,,,,,,,,
Action,Casual,Free to Play,Indie,,,,,,,,,,,,,,,
