Release date,Estimated owners,Peak CCU,Metacritic score,User score,Positive,Negative,Genres
"Nov 19, 2019",5000000 - 10000000,6001,84,0,28120,3435,"Simulation,Sports"
"May 6, 2021",200000 - 500000,438,0,0,1767,140,"Indie,Strategy"
"Feb 21, 2019",0 - 20000,0,0,0,0,0,"Casual,RPG,Simulation"
"May 17, 2018",50000 - 100000,2,0,0,360,180,Racing
"Apr 5, 2016",0 - 20000,0,0,0,20,7,"Action,Casual,Indie"
"Aug 5, 2021",0 - 20000,0,0,0,67,16,"Casual,Free to Play,Indie,Simulation,Sports"
"Oct 13, 2021",0 - 20000,0,0,0,1,1,"Action,Indie"
"Jun 1, 2019",0 - 20000,0,0,0,0,0,"Adventure,Indie"
"Aug 9, 2021",20000 - 50000,1,0,0,10,3,"Adventure,Casual,Indie,RPG,Strategy,Early Access"
"Oct 7, 2019",0 - 20000,0,0,0,8,2,"Indie,Strategy,Early Access"
"Dec 1, 2016",0 - 20000,0,72,0,143,25,"Action,Adventure,Indie"
"Jan 13, 2020",0 - 20000,0,0,0,1,0,"Adventure,Casual,Indie"
"Jul 13, 2022",0 - 20000,0,0,0,0,0,"Casual,Strategy"
"Oct 14, 2016",0 - 20000,0,0,0,0,1,"Casual,RPG,Simulation"
"Aug 1, 2017",0 - 20000,0,0,0,7,0,"Casual,Indie,Strategy"
"Jun 5, 2018",0 - 20000,0,0,0,3,2,"Action,Indie,Early Access"
"Mar 15, 2018",0 - 20000,0,0,0,9,24,"Casual,Indie"
"Dec 1, 2016",20000 - 50000,0,0,0,97,43,"Action,Adventure,Indie"
"Oct 6, 2020",0 - 20000,0,0,0,12,3,"Adventure,Casual,Indie,Simulation,Strategy,Early Access"
"Jul 25, 2013",1000000 - 2000000,80,76,0,11044,1424,"Adventure,Indie,RPG,Strategy"
"Dec 23, 2021",0 - 20000,0,0,0,3,0,"Action,Adventure,Indie,Simulation"
"Nov 11, 2021",20000 - 50000,0,0,0,7,0,"Adventure,Indie"
"Feb 24, 2022",0 - 20000,0,0,0,0,0,Adventure
"Oct 18, 2019",0 - 20000,0,0,0,58,26,"Action,Adventure,Casual,Indie,RPG,Simulation,Strategy,Early Access"
